Default Weights,Q121,Parents,Q127,Q128,Q129.1,NBA Fans,Q129.3,Q129.4,Q129.5,Q129.6,Q129.7,Q129.8,Version,Creatives,ProductAssociation_SmartSpeakers,ProductAssociation_SmartDisplays,ProductAssociation_Thermostats,ProductAssociation_SecurityCamera,ProductAssociation_Doorbells,ProductAssociation_SecuritySystems,ProductAssociation_Wifi,ProductAssociation_Smartphones,ProductAssociation_Noneoftheabove,ProductAssociation_IDK,Aided Awareness_GoogleNest,Aided Awareness_Amazon,Aided Awareness_Samsung,Aided Awareness_Apple,Aided Awareness_None,Consideration_GoogleNest,Consideration_Amazon,Consideration_Samsung,Consideration_Apple,Consideration_None,Purchase Intent,Perception_Easier,Perception_Helpful,Perception_ProductRange,Perception_Seamless,Perception_NotSeamless,Perception_None,CategoryConsideration_Speakers,CategoryConsideration_Displays,CategoryConsideration_Thermostats,CategoryConsideration_SecurityCameras,CategoryConsideration_Doorbells,CategoryConsideration_SecuritySystem,CategoryConsideration_Wifi,CategoryConsideration_Smartphones,CategoryConsideration_None,Enjoyment,Q166,Q167,Q168,Understanding,Relevance,Branding,Brand Appeal,Distinctiveness,Q175,Q176,Q177
0.808510661,8,0,1,0,1,2,1,1,2,1,2,1,4,E- Photos :30s,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,0,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,1,0,2,1,Vvvv,Gggg,Bbhh
0.589285731,6,1,1,0,1,1,1,1,2,2,1,1,6,G- Frozen :30s,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,3,0,2,0,1,2,1,Fvg,Vvv,Bvv
1.027397275,25,1,0,0,1,1,1,1,1,1,2,1,3,D- Photos :15s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,3,2,3,1,1,1,4,3,Remote control of tech ,Everything ,Nothing
0.808510661,15,1,1,0,2,2,2,2,2,2,1,1,4,E- Photos :30s,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,buy it try it,nothing like everything,everything product colour
0.773195863,17,1,1,1,1,2,2,1,1,1,1,1,2,C- Raptors :30s,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,1,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,0,0,0,0,1,0,1,0,"It’s showing you all the different ways that a google nest can be helpful in your home such as seeing who is at your door, recipes, and showing pictures and looking up info",Nothing,That it showed the usefulness of the device 
1.169230819,28,0,0,0,1,1,1,1,1,1,1,2,4,E- Photos :30s,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,3,1,1,0,1,1,3,2,2,Makes life simpler and when your not using it shows you stored pictures,Nothing,Fact it will show pics
1.381818175,14,1,0,0,2,2,2,2,2,1,1,1,4,E- Photos :30s,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,Ask for multiple things ,Less info ,Music
0.629166663,10,2,1,1,1,1,1,2,1,1,1,1,1,B- Raptors :15s,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,0,1,1,2,2,Google Nest helps you around the house,"Boring, feel like most ads about smart technology are like this one ",Nothing really
1.102941155,20,0,0,0,2,2,2,2,1,1,1,1,2,C- Raptors :30s,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1,0,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,It's easy to get things done with Google nest,Nothing,That it can turn on lights and pull videos up 
0.815217376,2,0,1,0,1,2,1,1,1,1,1,1,3,D- Photos :15s,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,1,0,1,1,1,Quality ,Nothing ,The quality 
